,displayName,description,abbreviation,value,perGameValue,rank,teamName
17,Total Offensive Plays,The number of offenseive plays run.,OP,1116.0,64.0,27.0,Browns
18,Total Points,The number of total points earned.,PTS,361.0,21.0,18.0,Browns
19,Total Points Per Game,The average number of points scored per game.,TP/G,21.235,,18.0,Browns
20,Total Touchdowns,The number of total Touchdowns scored.,TD,42.0,2.0,13.0,Browns
21,Total Yards,The number of total yards gained.,TYDS,6200.0,349.0,13.0,Browns
22,Total Yards From Scrimmage,The number of yards gained from the line of scrimmage.,SCRIM,0.0,,1.0,Browns
23,Two Point Rush Conversion,The number of times a 2-point is converted with a run.,2PTC,-1.0,-1.0,1.0,Browns
24,Two Point Rush,The number of rushes on 2-point attempts.,2PTR,1.0,1.0,4.0,Browns
25,Two Point Rush Attempts,The number of times a 2-point conversion is attempted with a rush.,CMP,1.0,1.0,8.0,Browns
26,Yards From Scrimmage Per Game,The average number of yards gained from scrimmage per game.,SCRIM/G,0.0,,1.0,Browns
27,Yards Per Game,The average number of yards per game.,YDS/G,364.706,,14.0,Browns
28,Yards Per Rush Attempt,The average number of yards per rush attempt.,AVG,4.68,4.65500020980835,11.0,Browns
0,Average Gain,The average gained yards per position.,AG,553.545,,20.0,Browns
1,ESPN Widereceiver Rating,The ESPN Widereceiver Rating.,ESPNWR,6050.0,,24.0,Browns
2,Long Reception,The amount of yards for the longest reception.,LNG,55.0,35.0,28.0,Browns
3,Miscellaneous Yards,The amount of miscellaneous yards.,MISC,0.0,,1.0,Browns
4,Net Total Yards,The amount of total net yards.,NTYDS,5934.0,,13.0,Browns
5,Net Yards Per Game,The total net yards gained per game.,CMP,349.05884,,14.0,Browns
6,20+ Yard Receiving Plays,The number of receiving big plays gained.,BIG,44.0,,23.0,Browns
7,Receiving First Downs,The number of times a first down is picked up by a reception.,FD,182.0,,21.0,Browns
8,Receiving Fumbles,The number of times a reception is made and then the ball is fumbled.,FUM,8.0,,17.0,Browns
9,Receiving Fumbles Lost,The number of times a reception is made and the balled is fumbled and recovered by the opposing team.,LST,6.0,,5.0,Browns
10,Receiving Targets,The number of times a receiver is thrown to.,TGTS,507.0,29.0,23.0,Browns
11,Receiving Touchdowns,The total number of receiving touchdowns.,TD,19.0,1.0,19.0,Browns
12,Receiving Yards,The total receiving yards.,YDS,3710.0,218.0,23.0,Browns
13,Receiving Yards After Catch,The number of yards gained after the catch has been made.,YAC,1639.0,96.0,25.0,Browns
14,Receiving Yards At Catch,The number of yards gained at the time the catch is made.,Y@C,2071.0,,18.0,Browns
15,Receiving Yards Per Game,The average number of receiving yards per game.,YDS/G,218.235,,23.0,Browns
16,Receptions,The total number of receptions.,REC,335.0,19.0,27.0,Browns
17,Team Games Played,The numbers of team games played.,GP,17.0,,1.0,Browns
18,Total Offensive Plays,The number of offenseive plays run.,OP,1116.0,64.0,27.0,Browns
19,Total Points,The number of total points earned.,PTS,361.0,21.0,18.0,Browns
20,Total Points Per Game,The average number of points scored per game.,TP/G,21.235,,18.0,Browns
21,Total Touchdowns,The number of total Touchdowns scored.,TD,42.0,2.0,13.0,Browns
22,Total Yards,The number of total yards gained.,TYDS,6200.0,349.0,13.0,Browns
23,Total Yards From Scrimmage,The number of yards gained from the line of scrimmage.,SCRIM,0.0,,1.0,Browns
24,Two Point Receiving Conversion,The number of times a 2-point is converted with a reception.,2PTC,-1.0,-1.0,1.0,Browns
25,Two Point Receptions,The number of receptions on 2-point attempts.,2PTR,0.0,,21.0,Browns
26,Two Point Reception Attempts,The number of times a 2-point conversion is attempted with a reception.,CMP,2.0,1.0,16.0,Browns
27,Yards From Scrimmage Per Game,The average number of yards gained from scrimmage per game.,SCRIM/G,0.0,,1.0,Browns
28,Yards Per Game,The average number of yards per game.,YDS/G,364.706,,14.0,Browns
29,Yards Per Reception,The average number of yards per reception.,AVG,11.075,11.329000473022461,15.0,Browns
0,Assist Tackles,The number of assists on tackles.,AST,440.0,22.0,3.0,Browns
1,Average Interception Yards,The average number of return yards per interception.,AVG,5.182,6.125,31.0,Browns
2,Average Sack Yards,The average number of yards lost per sack.,YDS/SACK,6.206,5.763999938964844,25.0,Browns
3,Average Stuff Yards,The average number of yards lost per stuff.,YDS/STF,5.057,,20.0,Browns
4,Block Field Goal Touchdown,The number of blocked field goals that were returned for a touchdown.,BFGTD,0.0,,2.0,Browns
5,Blocked Punt Touchdowns,The number of blocked punts that were returned for touchdowns.,BPTD,1.0,,1.0,Browns
6,Defensive Touchdown,The number of touchdowns recorded on defense.,TD,3.0,,4.0,Browns
7,Hurries,The number of times that the quarterback is hurried.,HUR,0.0,,1.0,Browns
8,Kicks Blocked,The number of times a kick was blocked.,KB,1.0,,13.0,Browns
9,Long Interception,The amount of yards of the longest interception return.,LNG,40.0,,20.0,Browns
10,Miscellaneous Touchdowns,The number of miscellaneous touchdowns.,MISCTD,0.0,,6.0,Browns
11,Passes Batted Down,The number of passes that were batted down.,BATD,0.0,,1.0,Browns
12,Passes Defended,The total number of passes defended.,PD,85.0,5.0,4.0,Browns
13,Two Point Returns,The number of two point attempts that is returned by the defense.,2PTR,0.0,,1.0,Browns
14,Sacks,The total number of sacks.,SACK,34.0,2.0,27.0,Browns
15,Sack Yards,The number of yards lost from sacks.,SCKYDS,211.0,12.411999702453613,26.0,Browns
16,Safeties,The number of times the offense is tackled in their own endzone.,SAFE,0.0,,10.0,Browns
17,Solo Tackles,The number of times a tackle was made unassisted.,SOLO,730.0,38.0,14.0,Browns
18,Stuffs,The number of times that a runner is stuffed at or behind the line of scrimmage.,STF,35.0,3.0,18.0,Browns
19,Stuff Yards,The number of yards lost from stuffs.,STFYDS,177.0,,26.0,Browns
20,Tackles For Loss,The number of tackles that result in a loss of yardage.,TFL,69.0,4.059000015258789,24.0,Browns
21,Team Games Played,The numbers of team games played.,GP,17.0,,1.0,Browns
22,Total Tackles,The total number of tackles.,TOT,1170.0,60.0,17.0,Browns
23,Yards Allowed,Yards allowed,YA,0.0,,1.0,Browns
24,Points Allowed,Points allowed,PA,0.0,,1.0,Browns
25,One Point Safeties Made,One Point Safeties Made,OPSM,0.0,,1.0,Browns
0,Interceptions,The total number of interceptions.,INT,11.0,,21.0,Browns
1,Interception Touchdowns,The number of times an interception is returned for a touchdown.,TD,1.0,,11.0,Browns
2,Interception Yards,The number of yards gained after an interception.,YDS,57.0,3.0,32.0,Browns
0,Average Kickoff Return Yards,The average number of yards per kickoff return.,YDS/KR,23.0,23.24799919128418,10.0,Browns
1,Average Kickoff Yards,The average number of yards per kickoff.,YDS/K,62.256,21.750999450683594,8.0,Browns
2,Extra Point Attempts,The number of extra point attempts.,XPA,37.0,2.0,6.0,Browns
3,Extra Point Percentage,The percentage of extra point attempts that are converted.,XP%,94.595,90.68599700927734,11.0,Browns
4,Extra Point Blocked,The number of extra points blocked.,XPB,0.0,,1.0,Browns
5,Extra Points Blocked Percentage,The percentage of extra points attempts that are blocked.,XPB%,0.0,,1.0,Browns
6,Extra Points Made,The number of extra point attempts made.,XPM,35.0,2.0,7.0,Browns
7,Fair Catches,The number of fair catches.,FC,0.0,,1.0,Browns
8,Fair Catch Percentage,The percentage of kicks that are fair catches.,FC%,0.0,6.047999858856201,1.0,Browns
9,Field Goal Attempts,The number of times a field goal is attempted.,FGA,32.0,1.0,10.0,Browns
10,Field Goal Attempts 1-19,The number of field goals attempted from 1-19 yards.,FGA 1-19,0.0,,4.0,Browns
11,Field Goal Attempts 20-29,The number of field goals attempted from 20-29 yards.,FGA 20-29,5.0,,14.0,Browns
12,Field Goal Attempts 30-39,The number of field goals attempted from 30-39 yards.,FGA 30-39,12.0,,3.0,Browns
13,Field Goal Attempts 40-49,The number of field goals attempted from 40-49 yards.,FGA 40-49,8.0,,11.0,Browns
14,Field Goal Attempts 50-59,The number of field goals attempted from 50-59 yards.,FGA 50-59,6.0,,8.0,Browns
15,Field Goal Attempts 60-99,The number of field goals attempted from 60-99 yards.,FGA 60-99,1.0,,3.0,Browns
16,Field Goal Attempts 50+,The number of field goals attempted from 50+ yards.,FGA 50+,7.0,,11.0,Browns
17,Field Goal Attempt Yards,The number of yards for field goal attempts.,FGAYDS,1292.0,77.0,10.0,Browns
18,Field Goal Percentage,The percentage of field goals attempted that are made.,FG%,75.0,74.51000213623047,15.0,Browns
19,Field Goals Blocked,The number of field goals that are blocked.,FGB,3.0,,15.0,Browns
20,Field Goals Blocked Percentage,The percentage of field goals attempted that are blocked.,CMP,9.375,7.8429999351501465,16.0,Browns
21,Field Goal Made,The number of times a field goal is made.,FGM,24.0,1.0,13.0,Browns
22,Field Goals Made 1-19,The number of field goals made from 1-19 yards.,FGM 1-19,0.0,,4.0,Browns
23,Field Goals Made 20-29,The number of field goals made from 20-29 yards.,FGM 20-29,5.0,,12.0,Browns
24,Field Goals Made 30-39,The number of field goals made from 30-39 yards.,FGM 30-39,9.0,,8.0,Browns
25,Field Goals Made 40-49,The number of field goals made from 40-49 yards.,FGM 40-49,6.0,,12.0,Browns
26,Field Goals Made 50-59,The number of field goals made from 50-59 yards.,FGM 50-59,4.0,,9.0,Browns
27,Field Goals Made 60-99,The number of field goals made from 60-99 yards.,FGM 60-99,0.0,,3.0,Browns
28,Field Goals Made 50+,The number of field goals made from 50+ yards.,50+,4.0,,12.0,Browns
29,Field Goals Made Yards,The total amount of yardage of field goals made.,FGMYDS,923.0,55.0,14.0,Browns
30,Field Goals Missed Yards,The total amount of yardage of missed field goals.,FGMSYD,369.0,21.0,3.0,Browns
31,Kickoff Returns,The number of times a kickoff was returned.,KR,41.0,2.0,2.0,Browns
32,Kickoff Return Touchdowns,The number of times a kickoff was returned for a touchdown.,KRTD,0.0,,1.0,Browns
33,Kickoff Return Yards,The total amount of yardage of kick returns.,KRYDS,943.0,55.0,15.0,Browns
34,Kickoffs,The number of kickoffs taken.,K,82.0,4.0,10.0,Browns
35,Kickoff Yards,The total amount of yardage of kickoffs.,KYDS,5105.0,106.0,10.0,Browns
36,Long Field Goal Attempt,The distance of the longest field goal attempt.,LFGA,60.0,,4.0,Browns
37,Long Field Goal Made,The distance of the longest field goal made.,LNG,58.0,35.0,5.0,Browns
38,Long Kickoff,The distance of the longest kickoff.,LK,79.0,46.0,1.0,Browns
39,Team Games Played,The numbers of team games played.,GP,17.0,,1.0,Browns
40,Total Kicking Points,The number of total points earned kicking.,PTS,107.0,6.0,15.0,Browns
41,Touchback Percentage,The percentage of kickoffs that are touchbacks.,TB%,60.976,61.582000732421875,8.0,Browns
42,Touchbacks,The number of kickoffs that result in touchbacks.,TB,50.0,2.0,9.0,Browns
0,Defensive Fumbles Returns,The number of fumble returns.,DFR,0.0,,1.0,Browns
1,Defensive Fumble Return Yards,The amount of total yardage from fumble returns.,DFRYDS,0.0,,1.0,Browns
2,Fumble Recoveries,The number of fumble recoveries.,FR,9.0,,17.0,Browns
3,Fumble Recovery Yards,The amount of total yardage from fumble recoveries.,YDS,5.0,,27.0,Browns
4,Kick Return Fair Catches,The number of kick return fair catches.,KRFC,0.0,,1.0,Browns
5,Kick Return Fair Catch Percentage,The percentage of kick returns that are fair caught.,KRFC%,0.0,,1.0,Browns
6,Kick Return Fumbles,The number of kick return fumbles.,KRF,0.0,,1.0,Browns
7,Kick Return Fumbles Lost,The number of kick return fumbles that are lost.,KRFL,0.0,,1.0,Browns
8,Kick Returns,The number of kick returns.,ATT,41.0,2.0,3.0,Browns
9,Kick Return Touchdowns,The number of kick return touchdowns.,TD,0.0,,6.0,Browns
10,Kick Return Yards,The total yardage of kick returns.,YDS,943.0,55.0,4.0,Browns
11,Long Kick Return,The longest kick return in yards.,LNG,48.0,28.0,17.0,Browns
12,Long Punt Return,The longest punt return in yards.,LNG,76.0,12.0,2.0,Browns
13,Miscellaneous Fumbles Returns,The number of fumble returns.,MFR,0.0,,1.0,Browns
14,Miscellaneous Fumble Return Yards,The amount of total yardage from fumble returns.,MFRYDS,0.0,,1.0,Browns
15,Opposition Fumble Recoveries,The number of fumble recoveries by the opposition.,OPFR,9.0,,14.0,Browns
16,Opposition Fumble Recovery Yards,The amount of total yardage from fumble recoveries by the opposition.,OFRYDS,31.0,,17.0,Browns
17,Opposition Special Team Fumble Returns,The number of fumble returns by the opposition's speical teams.,OPSTFR,0.0,,1.0,Browns
18,Opposition Special Team Fumble Return Yards,The amount of total yardage from fumble return by the opposition's special teams.,OFRYDS,0.0,,1.0,Browns
19,Punt Return Fair Catches,The number of punt return fair catches.,FC,16.0,,21.0,Browns
20,Punt Return Fair Catch Percentage,The percentage of kick returns that are fair caught.,PRFC%,51.613,,21.0,Browns
21,Punt Return Fumbles,The number of punt return fumbles.,PRF,0.0,,1.0,Browns
22,Punt Return Fumbles Lost,The number of punt return fumbles that are lost.,PRFL,0.0,,1.0,Browns
23,Punt Returns,The number of punt returns.,ATT,31.0,1.0,15.0,Browns
24,Punt Returns Started Inside the 10,The number of punt returns started inside the 10.,PR 10,0.0,,1.0,Browns
25,Punt Returns Started Inside the 20,The number of punt returns started inside the 20.,PR 20,0.0,,1.0,Browns
26,Punt Return Touchdowns,The number of punt return touchdowns.,TD,1.0,,1.0,Browns
27,Punt Return Yards,The total yardage of punt returns.,YDS,298.0,17.0,13.0,Browns
28,Special Team Fumbles Returns,The number of special team fumble returns.,STFR,0.0,,1.0,Browns
29,Special Team Fumble Return Yards,The amount of total yardage from special team fumble returns.,STFRYD,0.0,,1.0,Browns
30,Team Games Played,The numbers of team games played.,GP,17.0,,1.0,Browns
31,Yards Per Kick Return,The average number of yards per kick return.,AVG,23.0,23.24799919128418,15.0,Browns
32,Yards Per Punt Return,The average number of yards per punt return.,AVG,9.613,6.703999996185303,12.0,Browns
33,Yards Per Return,The average number of yards per return.,YDS/R,17.236,,11.0,Browns
0,Average Punt Return Yards,The average number of yards per punt return.,AVG,12.269,7.123000144958496,1.0,Browns
1,Fair Catches,The number of fair catches.,FC,9.0,,31.0,Browns
2,Gross Average Punt Yards,The average gross number of yards per punt.,AVG,48.508,48.05099868774414,7.0,Browns
3,Long Punt,The distance of the longest punt.,LNG,76.0,60.0,2.0,Browns
4,Net Average Punt Yards,The average net number of yards per punt.,NET,43.279,42.15399932861328,14.0,Browns
5,Punt Returns,The number of times a punt was returned.,ATT,26.0,1.0,19.0,Browns
6,Punt Return Yards,The total amount of yardage of punt returns.,YDS,319.0,18.0,8.0,Browns
7,Punts,The number of punts taken.,PUNTS,61.0,3.0,21.0,Browns
8,Punts Blocked,The number of times a punt was blocked.,PBLK,0.0,,11.0,Browns
9,Punts Blocked Percentage,The percentage of punts that are blocked.,PBLK%,0.0,,11.0,Browns
10,Punts Inside 10,The number of times a punt is downed inside the 10.,P 10,15.0,,1.0,Browns
11,Punts Inside 10 Percentage,The percentage of punts that end up inside the 10.,P 10%,24.59,,1.0,Browns
12,Punts Inside 20,The number of times a punt is downed inside the 20.,IN20,23.0,1.0,19.0,Browns
13,Punts Inside 20 Percentage,The percentage of punts that end up inside the 10.,IN20%,37.705,34.82400131225586,16.0,Browns
14,Punt Yards,The total amount of yardage of punts.,YDS,2959.0,174.0,20.0,Browns
15,Team Games Played,The numbers of team games played.,GP,17.0,,1.0,Browns
16,Touchback Percentage,The percentage of punts that are touchbacks.,TB%,11.475,9.21500015258789,5.0,Browns
17,Touchbacks,The number of kickoffs that result in touchbacks.,TB,7.0,,6.0,Browns
0,Defensive Points,The number of points scored on defense.,DP,0.0,6.0,11.0,Browns
1,Field Goals,The number of field goals made.,FG,24.0,1.0,26.0,Browns
2,Kick Extra Points,The number of extra points made.,PAT,35.0,2.0,14.0,Browns
3,Miscellaneous Points,The number of miscellaneous points scored.,MISP,0.0,,1.0,Browns
4,Passing Touchdowns,The total number of passing touchdowns.,PASS,19.0,1.0,19.0,Browns
5,Receiving Touchdowns,The total number of receiving touchdowns.,REC,19.0,1.0,19.0,Browns
6,Return Touchdowns,The total number of return touchdowns.,RET,4.0,,3.0,Browns
7,Rushing Touchdowns,The total number of rushing touchdowns.,RUSH,19.0,1.0,6.0,Browns
8,Total Points,The number of total points scored.,PTS,361.0,20.0,18.0,Browns
9,Total Points Per Game,The number of points scored per game.,TP/G,21.235,,18.0,Browns
10,Total Touchdowns,The number of touchdowns scored in total.,TD,42.0,2.0,13.0,Browns
11,Total Two Point Conversions,The number of times a 2-point conversion is successful.,2PT,1.0,,18.0,Browns
12,Two Point Pass Conversions,The number of times a 2-point conversion is successful with a pass.,2PTPC,0.0,,21.0,Browns
13,Two Point Receiving Conversion,The number of times a 2-point is converted with a reception.,2PTRCC,0.0,,21.0,Browns
14,Two Point Rush Conversion,The number of times a 2-point is converted with a run.,2PTRUC,1.0,,4.0,Browns
15,One Point Safeties Made,One Point Safeties Made,OPSM,0.0,,1.0,Browns
0,Total 1st downs,The the number of first downs.,CMP,350.0,20.0,10.0,Browns
1,Passing 1st downs,The number of times a pass results in a first down.,FDP,182.0,10.0,21.0,Browns
2,1st downs by penalty,The number of times a penalty results in a first down.,FDPEN,26.0,1.0,21.0,Browns
3,First Downs Per Game,The average number of first downs per game.,FD/G,20.588,20.0,10.0,Browns
4,Rushing 1st downs,The number of times a rush results in a first down.,FDR,142.0,8.0,6.0,Browns
5,First Downs Attempts,The number of attempts at getting a first down.,FDA,42.0,2.0,1.0,Browns
6,4th down %,The percentage of fourth down attempts that are converted.,4THC%,54.762,45.5880012512207,8.0,Browns
7,Fourth Down Conversions,The number of times a fourth down is converted.,4THC,23.0,1.0,1.0,Browns
8,Fumbles Lost,The number of times the ball has been fumbled and lost to the opposing team .,LST,9.0,,14.0,Browns
9,Possession Time Seconds,The total time of possession in seconds.,POSS,32457.0,1909.0,4.0,Browns
10,Red Zone Efficiency Percentage,The percentage of red zone attempts that are converted.,CMP,63.52,,22.0,Browns
11,Red Zone Field Goal Percentage,The percentage of red zone trips that end in a field goal.,RZFG%,23.21,,25.0,Browns
12,Red Zone Scoring Percentage,The percentage of red zone trips that result in a score.,RZ%,76.79,50.0,27.0,Browns
13,Red Zone Touchdown Percentage,The percentage of red zone trips that result in a touchdown.,RZTD%,53.57,,18.0,Browns
14,Third Down Attempts,The number of 3rd down attempts.,3RDA,231.0,13.0,6.0,Browns
15,3rd down %,The percentage of 3rd downs that are converted.,3RDC%,38.095,38.2760009765625,19.0,Browns
16,Third Down Conversions,The number of 3rd down conversions.,3RDC,88.0,5.0,14.0,Browns
17,Total Giveaways,The total number of giveaways.,TGV,21.0,,20.0,Browns
18,Total Penalties,The total number of total penalties.,TPEN,102.0,6.0,11.0,Browns
19,Total Penalty Yards,The total number of penalty yards.,TPY,865.0,50.0,7.0,Browns
20,Total Takeaways,The total number of takeaways.,TT,20.0,,20.0,Browns
21,Total Drives,The total number of drives.,D,0.0,,1.0,Browns
22,Turnover Ratio,Difference between take-aways and give-aways,DIFF,-1.0,,16.0,Browns
0,Fumbles,The number of times a player/team has fumbled the ball,FUM,14.0,1.0,31.0,Cowboys
1,Fumbles Lost,The number of times a fumble is recovered by the opposing team,LST,5.0,,30.0,Cowboys
2,Forced Fumbles,The total number of forced fumbles.,FF,24.0,1.0,10.0,Cowboys
3,Fumbles Recovered,The number of fumbles recovered.,FR,17.0,1.0,1.0,Cowboys
4,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown.,FTD,3.0,,1.0,Cowboys
5,Games Played,Games Played,GP,17.0,,1.0,Cowboys
6,Two Point Returns,The number of two point attempts that is returned by the offense.,2PTR,0.0,,1.0,Cowboys
7,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the offense.,OFTD,0.0,,5.0,Cowboys
8,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the defense.,DFTD,3.0,,1.0,Cowboys
0,Average Gain,The average gained yards per position.,AG,555.106,,17.0,Cowboys
1,Completion Percentage,The percentage of completed passes.,CMP%,63.849,64.89299774169922,18.0,Cowboys
2,Completions,The times a player completes a pass to another player who is eligible to catch a pass.,CMP,355.0,20.0,18.0,Cowboys
3,ESPN Quarterback Rating,The quarterback rating used to compare overall offensive performance relative to other positions.,EQBR,5331.0,,15.0,Cowboys
4,Interception Percentage,The percentage of passes thrown that were intercepted by the opposing team.,INT%,3.237,2.9700000286102295,29.0,Cowboys
5,Interceptions,The number of passes thrown that were intercepted by the opposing team.,INT,18.0,1.0,30.0,Cowboys
6,Longest Pass,The longest pass play completed in terms of yards.,LNG,68.0,34.0,13.0,Cowboys
7,Miscellaneous Yards,The number of miscellaneous yards.,MISC,0.0,,1.0,Cowboys
8,Net Passing Yards,The amount of net passing yards.,NYDS,3736.0,219.0,14.0,Cowboys
9,Net Passing Yards Per Game,The amount of net passing yards per game.,NYDS/G,219.76471,,14.0,Cowboys
10,Net Total Yards,The amount of net total yards.,NTYDS,6034.0,,10.0,Cowboys
11,Net Yards Per Game,The amount of net total yards per game.,NTYDS/G,354.94116,,11.0,Cowboys
12,Passing Attempts,The number of times a pass is attempted.,ATT,556.0,32.0,19.0,Cowboys
13,Passing Big Plays,The number of times a pass results in a big play.,BIGP,50.0,,14.0,Cowboys
14,Passing 1st downs,The number of times a pass results in a first down.,FIRST,194.0,11.0,12.0,Cowboys
15,Passing Fumbles,The number of times the ball has been fumbled after a completed pass.,FUM,6.0,,27.0,Cowboys
16,Passing Fumbles Lost,The number of times the ball has been fumbled and lost to the opposing team after a completed pass.,FL,2.0,,31.0,Cowboys
17,Passing Touchdown %,The percentage of passes that result in a touchdown.,TD%,5.036,3.125,8.0,Cowboys
18,Passing Touchdowns,The total number of passing touchdowns.,TD,28.0,1.0,9.0,Cowboys
19,Passing Yards,The total passing yards.,YDS,3911.0,230.0,18.0,Cowboys
20,Passing Yards After Catch,The amount of passing yards after catch.,PYAC,1659.0,,24.0,Cowboys
21,Passing Yards At Catch,The amount of passing yards when the catch is made.,PY@C,2252.0,,12.0,Cowboys
22,Passing Yards Per Game,The number of passing yards per game.,YDS/G,230.059,,18.0,Cowboys
23,Passer Rating,Passer Rating,RTG,87.89833,84.22749328613281,66.0,Cowboys
24,Total Sacks,The total number of sacks.,SACK,27.0,1.0,29.0,Cowboys
25,Sack Yards Lost,The amount of yards lost due to sacks.,SYL,175.0,10.0,5.0,Cowboys
26,Net Passing Attempts,Net Passing Attempts.,NATT,583.0,33.0,48.0,Cowboys
27,Team Games Played,The amount of games played.,TGP,17.0,,1.0,Cowboys
28,Total Offensive Plays,The number of total offensive plays.,TOP,1114.0,64.0,54.0,Cowboys
29,Total Points,The number of total points scored.,PTS,467.0,27.0,3.0,Cowboys
30,Total Points Per Game,The number of points scored per game.,TP,27.471,,4.0,Cowboys
31,Total Touchdowns,The number of touchdowns scored in total.,TD,55.0,3.0,3.0,Cowboys
32,Total Yards,The number of yards accumulated in total.,TYDS,6209.0,354.0,12.0,Cowboys
33,Total Yards From Scrimmage,The amound of total yards from the line of scrimmage.,CMP,0.0,,1.0,Cowboys
34,Two Point Pass Conversions,The number of times a 2-point conversion is successful with a pass.,2PTPC,-1.0,-1.0,1.0,Cowboys
35,Two Point Pass,The number of times a pass was thrown for 2 points.,2PTP,0.0,,21.0,Cowboys
36,Two Point Pass Attempts,The number of times a pass was attempted on a 2-point conversion.,2PTPA,1.0,1.0,22.0,Cowboys
37,Yards From Scrimmage Per Game,The yards gained from scrimmage per game.,SCRIM/G,0.0,,1.0,Cowboys
38,Yards Per Completion,The average number of yards per pass completion.,CMP,11.017,10.454000473022461,16.0,Cowboys
39,Yards Per Game,The average number of yards per game.,YDS/G,365.235,,13.0,Cowboys
40,Yards Per Pass Attempt,The average number yards per pass attempt.,AVG,7.034,7.205999851226807,16.0,Cowboys
41,Net Yards Per Pass Attempt,The average number net yards (taking sack yardage into account) per pass attempt.,NYDS/PA,6.408233276157804,6.636363636363637,,Cowboys
42,Quarterback Rating,Quarterback Rating.,RAT,87.89833,84.22749328613281,66.0,Cowboys
0,Average Gain,The average gained yards per position.,AG,555.106,,17.0,Cowboys
1,ESPN RB Rating,The ESPN Widereceiver Rating.,ESPNRB,3063.0,,6.0,Cowboys
2,Long Rushing,The amount of yards for the longest run.,LNG,57.0,25.0,17.0,Cowboys
3,Miscellaneous Yards,The amount of miscellaneous yards.,MISC,0.0,,1.0,Cowboys
4,Net Total Yards,The amount of total net yards.,NTYDS,6034.0,,10.0,Cowboys
5,Net Yards Per Game,The total net yards gained per game.,CMP,354.94116,,11.0,Cowboys
6,Rushing Attempts,The total number of attempted rushes.,ATT,531.0,31.0,6.0,Cowboys
7,20+ Yard Rushing Plays,The number of rushing big plays gained.,BIG,17.0,,7.0,Cowboys
8,Rushing 1st downs,The number of times a first down is picked up by a run.,FD,129.0,7.0,8.0,Cowboys
9,Rushing Fumbles,The number of times there is a run and then the ball is fumbled.,FUM,17.0,,7.0,Cowboys
10,Rushing Fumbles Lost,The number of times there is a run and then the ball is fumbled.,LST,0.0,,30.0,Cowboys
11,Rushing Touchdowns,The total number of rushing touchdowns.,TD,24.0,1.0,2.0,Cowboys
12,Rushing Yards,The total rushing yards.,YDS,2298.0,135.0,8.0,Cowboys
13,Rushing Yards Per Game,The average number of rushing yards per game.,YDS/G,135.176,,9.0,Cowboys
14,Stuffs,The number of times a run is stopped at or behind the line of scrimmage.,STF,57.0,,9.0,Cowboys
15,Stuff Yards Lost,The number of yards lost when a run is stuffed.,SYDSL,-123.0,,27.0,Cowboys
16,Team Games Played,The numbers of team games played.,GP,17.0,,1.0,Cowboys
17,Total Offensive Plays,The number of offenseive plays run.,OP,1114.0,64.0,54.0,Cowboys
18,Total Points,The number of total points earned.,PTS,467.0,27.0,3.0,Cowboys
19,Total Points Per Game,The average number of points scored per game.,TP/G,27.471,,4.0,Cowboys
20,Total Touchdowns,The number of total Touchdowns scored.,TD,55.0,3.0,3.0,Cowboys
21,Total Yards,The number of total yards gained.,TYDS,6209.0,354.0,12.0,Cowboys
22,Total Yards From Scrimmage,The number of yards gained from the line of scrimmage.,SCRIM,0.0,,1.0,Cowboys
23,Two Point Rush Conversion,The number of times a 2-point is converted with a run.,2PTC,-1.0,-1.0,1.0,Cowboys
24,Two Point Rush,The number of rushes on 2-point attempts.,2PTR,0.0,,14.0,Cowboys
25,Two Point Rush Attempts,The number of times a 2-point conversion is attempted with a rush.,CMP,1.0,1.0,8.0,Cowboys
26,Yards From Scrimmage Per Game,The average number of yards gained from scrimmage per game.,SCRIM/G,0.0,,1.0,Cowboys
27,Yards Per Game,The average number of yards per game.,YDS/G,365.235,,13.0,Cowboys
28,Yards Per Rush Attempt,The average number of yards per rush attempt.,AVG,4.328,4.321000099182129,18.0,Cowboys
0,Average Gain,The average gained yards per position.,AG,555.106,,17.0,Cowboys
1,ESPN Widereceiver Rating,The ESPN Widereceiver Rating.,ESPNWR,6666.0,,15.0,Cowboys
2,Long Reception,The amount of yards for the longest reception.,LNG,68.0,34.0,13.0,Cowboys
3,Miscellaneous Yards,The amount of miscellaneous yards.,MISC,0.0,,1.0,Cowboys
4,Net Total Yards,The amount of total net yards.,NTYDS,6034.0,,10.0,Cowboys
5,Net Yards Per Game,The total net yards gained per game.,CMP,354.94116,,11.0,Cowboys
6,20+ Yard Receiving Plays,The number of receiving big plays gained.,BIG,50.0,,14.0,Cowboys
7,Receiving First Downs,The number of times a first down is picked up by a reception.,FD,194.0,,12.0,Cowboys
8,Receiving Fumbles,The number of times a reception is made and then the ball is fumbled.,FUM,6.0,,27.0,Cowboys
9,Receiving Fumbles Lost,The number of times a reception is made and the balled is fumbled and recovered by the opposing team.,LST,2.0,,31.0,Cowboys
10,Receiving Targets,The number of times a receiver is thrown to.,TGTS,545.0,32.0,17.0,Cowboys
11,Receiving Touchdowns,The total number of receiving touchdowns.,TD,28.0,1.0,9.0,Cowboys
12,Receiving Yards,The total receiving yards.,YDS,3911.0,230.0,18.0,Cowboys
